time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-10T21:13:38.718Z,59.9211,-151.8156,52.6,3.2,ml,,,,0.29,ak,ak0237em3ui7,2023-06-11T00:22:02.713Z,"Kenai Peninsula, Alaska",earthquake,,0.5,,,automatic,ak,ak
2023-06-10T20:26:04.201Z,10.5721,126.1978,51.685,4.5,mb,34,132,21.941,0.46,us,us7000k7pd,2023-06-10T20:55:46.040Z,"57 km SE of Sulangan, Philippines",earthquake,13.11,4.443,0.113,25,reviewed,us,us
2023-06-10T19:55:33.170Z,-55.9331,-27.9092,101.335,4.6,mb,20,67,5.195,0.63,us,us7000k7pb,2023-06-10T21:03:29.040Z,"South Sandwich Islands region",earthquake,11.23,7.462,0.129,18,reviewed,us,us
2023-06-10T19:45:01.035Z,66.1382,-143.3499,0,3.1,ml,,,,1.11,ak,ak0237el3rav,2023-06-10T21:13:01.040Z,"northern Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-10T18:07:43.480Z,17.9526666666667,-66.8353333333333,13.48,2.56,md,11,215,0.04737,0.12,pr,pr71412903,2023-06-10T18:17:32.670Z,"Puerto Rico region",earthquake,0.7,0.31,0.144025997070239,5,reviewed,pr,pr
2023-06-10T16:25:09.399Z,65.9071,-166.2879,15,3.3,ml,,,,1.22,ak,ak0237ej76w5,2023-06-10T16:50:03.040Z,"40 km SSW of Shishmaref, Alaska",earthquake,,248.9,,,automatic,ak,ak
2023-06-10T16:24:56.130Z,17.9486666666667,-66.8336666666667,11.84,3.26,md,24,195,0.05071,0.17,pr,pr71412878,2023-06-10T16:57:01.610Z,"5 km SSW of Indios, Puerto Rico",earthquake,0.47,0.36,0.101429313673134,9,reviewed,pr,pr
2023-06-10T16:20:53.779Z,33.8004,135.2069,46.716,4.6,mb,23,76,1.111,0.57,us,us7000k7nk,2023-06-10T22:07:00.564Z,"1 km SW of Inami, Japan",earthquake,4.52,8.141,0.193,8,reviewed,us,us
2023-06-10T15:16:10.250Z,18.542,-64.8136666666667,76.59,3.15,md,11,269,0.2131,0.13,pr,pr71412873,2023-06-10T15:44:34.082Z,"23 km N of Cruz Bay, U.S. Virgin Islands",earthquake,0.92,0.64,0.110296718865702,9,reviewed,pr,pr
2023-06-10T15:07:44.863Z,-5.5951,104.1912,80.858,4.7,mb,30,174,1.738,0.67,us,us7000k7n9,2023-06-10T16:29:23.040Z,"114 km SW of Kotabumi, Indonesia",earthquake,11.74,8.836,0.102,32,reviewed,us,us
2023-06-10T15:06:46.970Z,-21.6179,-69.5058,10,4.6,mb,24,101,0.303,1,us,us7000k7n6,2023-06-11T05:18:38.215Z,"82 km NNE of María Elena, Chile",earthquake,5.31,1.835,0.107,26,reviewed,us,us
2023-06-10T14:50:38.771Z,11.7931,125.8935,40.935,4.9,mb,54,122,4.704,0.9,us,us7000k7n5,2023-06-10T15:18:18.040Z,"47 km E of Sulat, Philippines",earthquake,11.39,7.473,0.056,105,reviewed,us,us
2023-06-10T14:34:29.840Z,18.6585,-64.8315,76.04,3.16,md,15,269,0.3268,0.16,pr,pr71412863,2023-06-10T16:32:49.040Z,"",earthquake,2.35,1.29,0.136592804888832,11,reviewed,pr,pr
2023-06-10T13:50:43.070Z,18.556,-65.8783333333333,76.23,3.03,md,16,198,0.3135,0.19,pr,pr71412843,2023-06-10T15:44:15.856Z,"13 km N of Loíza, Puerto Rico",earthquake,1.48,1.13,0.0464622850348795,6,reviewed,pr,pr
2023-06-10T13:21:06.706Z,-30.7268,-71.578,40.55,4.8,mb,34,97,0.687,1.06,us,us7000k7mt,2023-06-10T13:39:31.040Z,"",earthquake,6.2,5.454,0.042,173,reviewed,us,us
2023-06-10T12:43:27.422Z,-24.2337,-179.9849,510.126,4.3,mb,29,102,5.337,0.99,us,us7000k7mr,2023-06-10T13:01:19.040Z,"",earthquake,10.69,9.062,0.08,44,reviewed,us,us
2023-06-10T11:51:15.450Z,19.2065,-67.9828,40,3.59,md,16,267,0.7991,0.83,pr,pr2023161000,2023-06-11T04:50:35.040Z,"82 km NNE of Punta Cana, Dominican Republic",earthquake,4.67,25.84,0.1,14,reviewed,pr,pr
2023-06-10T11:42:26.120Z,33.9561667,-117.7166667,12.88,2.75,ml,101,13,0.05209,0.21,ci,ci40482464,2023-06-11T06:08:47.550Z,"6km SE of Chino Hills, CA",earthquake,0.18,0.44,0.178,23,automatic,ci,ci
2023-06-10T11:19:32.760Z,18.005,-66.8471666666667,2.1,2.66,md,4,186,0.1909,0.13,pr,pr71412823,2023-06-10T11:33:44.790Z,"2 km ESE of Palomas, Puerto Rico",earthquake,0.62,1.18,0.0997829934362282,5,reviewed,pr,pr
2023-06-10T10:04:52.576Z,38.5871,22.8955,17.595,4.2,mwr,40,55,1.547,0.55,us,us7000k7m7,2023-06-10T10:28:44.040Z,"Greece",earthquake,4.33,5.372,0.065,23,reviewed,us,us
2023-06-10T09:43:04.110Z,38.7426682,-122.7220001,1.54,2.63,md,61,30,0.01903,0.08,nc,nc73899481,2023-06-10T18:35:55.939Z,"4km SW of Anderson Springs, CA",earthquake,0.15,0.29,0.18,72,automatic,nc,nc
2023-06-10T09:12:50.868Z,-15.977,-179.1556,10,5.8,mww,94,49,3.199,0.67,us,us7000k7m3,2023-06-11T00:30:56.762Z,"Fiji region",earthquake,11.05,1.762,0.069,20,reviewed,us,us
2023-06-10T09:12:34.296Z,22.8476,120.6217,19.897,4.7,mwr,48,84,0.424,0.74,us,us7000k7ly,2023-06-10T18:21:07.090Z,"",earthquake,3.12,3.88,0.059,28,reviewed,us,us
2023-06-10T09:07:02.952Z,53.4311,160.3509,60.173,4.4,mb,30,142,1.101,0.7,us,us7000k7lv,2023-06-10T09:20:20.040Z,"122 km ENE of Petropavlovsk-Kamchatsky, Russia",earthquake,11.59,9.253,0.093,33,reviewed,us,us
2023-06-10T08:44:56.115Z,60.702,-152.076,91.5,3.1,ml,,,,0.39,ak,ak0237eejw69,2023-06-10T08:53:53.040Z,"42 km WNW of Salamatof, Alaska",earthquake,,0.7,,,automatic,ak,ak
2023-06-10T07:55:47.205Z,-24.1648,-67.0584,202.649,4,mb,18,106,1.586,0.41,us,us7000k7lq,2023-06-10T12:45:38.040Z,"75 km W of San Antonio de los Cobres, Argentina",earthquake,11.74,11.556,0.259,4,reviewed,us,us
2023-06-10T07:24:29.225Z,-24.1542,-66.982,194.486,4.3,mwr,35,49,1.624,0.75,us,us7000k7ll,2023-06-10T20:34:55.619Z,"Salta, Argentina",earthquake,4.95,9.814,,,reviewed,us,guc
2023-06-10T06:53:57.681Z,3.8177,-76.4527,149.844,4.3,mb,36,98,2.358,0.79,us,us7000k7li,2023-06-10T21:24:23.462Z,"7 km E of Restrepo, Colombia",earthquake,8.69,9.314,0.122,19,reviewed,us,us
2023-06-10T05:31:54.877Z,22.854,120.6509,25.817,4.9,mwr,119,71,0.397,0.71,us,us7000k7l7,2023-06-10T09:55:48.018Z,"35 km SSE of Yujing, Taiwan",earthquake,4.43,4.886,0.061,26,reviewed,us,us
2023-06-10T05:13:23.397Z,-4.7947,143.4499,100.844,4.3,mb,43,112,3.556,0.57,us,us7000k7l3,2023-06-10T05:50:36.040Z,"81 km NNE of Porgera, Papua New Guinea",earthquake,5.68,7.827,0.098,30,reviewed,us,us
2023-06-10T02:55:02.226Z,34.4818,25.3623,38.589,4.3,mb,56,187,0.893,0.77,us,us7000k7kl,2023-06-10T23:02:12.040Z,"61 km SSE of Pýrgos, Greece",earthquake,8.31,9.433,0.097,30,reviewed,us,us
